SOURCE,SCORE
Bad Hermes,0
Bad Jormungandr,0
Abyss Guardian,0
The Great Hunt tournament.,0
Event "Trials of Olympus",0
Clan wealth,0
Epic Ancient squad,0
Sakura of Plenty,1
Pumpkin,1
Snowman,1
Carrot Monster,1
Yogwai,1
Story,1
Mimic Chest,1
Arena,2
Mercenary Exchange,20
Dark Omens event,20
Summoning Dark Omens,20
Autumnfest tournament,100
Alchemy tournament,100
Authority Rush tournament,100
Clash for the Throne tournament,100
Christmas Ritual tournament,100
Hermes' Store,100
Summerfest tournament,100
Union of Triumph personal reward,380
Jormungandr Shop,100
Rise of the Ancients event,100
Sacred Rituals tournament,100
Spoils of Dread event,200
Beastman,750
Shadow City,750
Epic Undead squad,750
Epic Inferno squad,750
Arachne's Swarm Epic squad,3500
Epic Basilisk squad,500
Epic Jack Reaper Chest,500
Yokai,100
Yao Monster,500
Epic Dark Omen Arcane Chest,200
Epic Fenrir squad,200
Epic Briareus squad,200
Epic Jormungandr squad,100
Epic Chimera squad,100
Level 5 Crypt,0
Level 10 Crypt,0
Level 15 Crypt,0
Level 20 Crypt,0
Level 25 Crypt,275
Level 10 rare Crypt,0
Level 15 rare Crypt,0
Level 20 rare Crypt,0
Level 25 rare Crypt,350
Level 30 rare Crypt,500
Level 15 epic Crypt,0
Level 20 epic Crypt,0
Level 25 epic Crypt,550
Level 30 epic Crypt,750
Level 35 epic Crypt,1000
Level 10 Citadel,0
Level 15 Citadel,0
Level 20 Citadel,0
Level 25 Citadel,275
Level 30 Citadel,380
Level 20 cursed Citadel,0
Level 25 cursed Citadel,137
Tartaros Crypt level 10,0
Tartaros Crypt level 15,0
Tartaros Crypt level 20,0
Tartaros Crypt level 25,56
Tartaros Crypt level 30,275
Tartaros Crypt level 35,380
Conqueror's Chest,20
Wooden Chest,20
Bronze Chest,40
Silver Chest,80
Golden Chest,250
Precious Chest,500
Magic Chest,1000
Lvl 20-24 Raid Runic squad,50
Lvl 25-29 Raid Runic squad,100
Lvl 30-34 Raid Runic squad,120
Lvl 35-39 Raid Runic squad,190
Lvl 40-44 Raid Runic squad,250
Lvl 45 Raid Runic squad,300
Level 10-14 Vault of the Ancients,5
Level 15-19 Vault of the Ancients,15
Level 20-24 Vault of the Ancients,25
Level 25-29 Vault of the Ancients,60
Level 30-34 Vault of the Ancients,110
Level 35-39 Vault of the Ancients,150
Level 40-44 Vault of the Ancients,200
Level 45 Vault of the Ancients,250
Level 16 heroic Monster,30
Level 17 heroic Monster,40
Level 18 heroic Monster,50
Level 19 heroic Monster,70
Level 20 heroic Monster,85
Level 21 heroic Monster,100
Level 22 heroic Monster,115
Level 23 heroic Monster,130
Level 24 heroic Monster,180
Level 25 heroic Monster,220
Level 26 heroic Monster,235
Level 27 heroic Monster,250
Level 28 heroic Monster,265
Level 29 heroic Monster,280
Level 30 heroic Monster,300
Level 31 heroic Monster,310
Level 32 heroic Monster,325
Level 33 heroic Monster,340
Level 34 heroic Monster,355
Level 35 heroic Monster,370
Level 36 heroic Monster,385
Level 37 heroic Monster,425
Level 38 heroic Monster,475
Level 39 heroic Monster,500
Level 40 heroic Monster,525
Level 41 heroic Monster,550
Level 42 heroic Monster,575
Level 43 heroic Monster,600
Level 44 heroic Monster,750
Level 45 heroic Monster,1000
